scenario_id,active_pcs,traffic_type,traffic_intensity,avg_delay,packet_loss,throughput,label,distance_m,velocity_mps,doppler_shift_hz,path_loss_db,fading_depth_db,interference_dbm,freq_variation_hz,fading_rate,rssi_dbm,snr_db,ber,channel_variation,handovers,modulation,access_technology
S1,14,ICMP,Very High,3.106,0.46,Very Low,Abnormal,420.7,0.04,1.03,92.53,15.11,-61.88,2.33,0.418,-97.83,2.52,8.38e-02,0.236,5,BPSK,OFDMA
S2,11,HTTP,High,1.863,0.25,Low,Abnormal,301.7,1.05,5.59,89.64,7.48,-66.99,11.0,0.326,-87.64,13.69,1.00e-08,0.167,5,BPSK,OFDMA
S3,15,ICMP,High,3.826,0.32,Very Low,Abnormal,302.5,0.57,0.65,89.66,10.65,-55.36,2.33,0.384,-86.68,12.75,1.00e-08,0.249,6,BPSK,OFDMA
S4,14,HTTP (Continuous),Very High,3.292,0.44,Low,Abnormal,278.1,1.06,12.46,88.93,13.11,-58.36,10.28,0.387,-89.36,11.36,5.70e-07,0.255,6,BPSK,OFDMA
S5,4,Ping,Low,0.21,0.01,Medium,Normal,142.6,2.18,-10.8,83.13,1.9,-86.64,10.27,0.152,-75.22,24.35,1.00e-08,0.109,1,QPSK,FDMA
S6,1,Ping,Low,0.15,0.0,High,Normal,94.8,2.61,-9.14,79.58,2.03,-91.99,9.61,0.127,-64.49,38.99,1.00e-08,0.12,2,16-QAM,TDMA
S7,8,Ping (intermittent),Medium,1.465,0.11,Medium,Abnormal,125.5,0.75,-6.65,82.02,4.32,-72.89,9.43,0.241,-73.54,25.23,1.00e-08,0.174,4,16-QAM,CDMA
S8,4,Ping,Low,0.48,0.02,Medium,Normal,161.1,0.73,4.35,84.19,3.58,-83.21,9.59,0.154,-71.58,28.99,1.00e-08,0.138,2,16-QAM,FDMA
S9,7,ICMP + HTTP (alternating),Medium,1.562,0.13,Medium,Abnormal,216.5,1.29,9.48,86.76,3.76,-79.03,12.12,0.189,-86.24,10.2,1.42e-05,0.172,4,BPSK,CDMA
S10,10,HTTP,High,2.717,0.13,Medium,Abnormal,216.6,1.14,1.91,86.76,6.35,-68.26,8.23,0.229,-82.33,19.05,1.00e-08,0.178,3,QPSK,CDMA
S11,2,HTTP (bursty),Low,0.04,0.01,High,Normal,87.9,1.72,7.24,78.93,4.45,-89.48,7.75,0.163,-67.17,34.97,1.00e-08,0.119,1,16-QAM,TDMA
S12,5,ICMP,Low,0.44,0.0,Medium,Normal,115.4,1.69,0.2,81.29,1.81,-78.46,4.1,0.121,-73.93,25.48,1.00e-08,0.066,2,16-QAM,FDMA
S13,13,Ping,Very High,3.119,0.33,Very Low,Abnormal,367.8,1.01,5.78,91.36,9.6,-62.49,5.19,0.353,-94.05,8.3,5.79e-04,0.187,4,BPSK,OFDMA
S14,4,HTTP,Low,0.36,0.01,Medium,Normal,208.7,2.65,20.89,86.44,2.36,-82.03,17.12,0.119,-74.64,24.59,1.00e-08,0.092,3,QPSK,FDMA
S15,4,HTTP (bursty),Medium,0.13,0.0,Medium,Normal,196.9,0.98,4.62,85.93,2.44,-88.16,8.95,0.198,-76.35,24.89,1.00e-08,0.077,0,QPSK,FDMA
S16,13,Ping (intermittent),High,2.77,0.49,Very Low,Abnormal,334.7,0.29,2.14,90.54,13.54,-61.74,4.25,0.486,-98.95,2.09,9.91e-02,0.25,4,BPSK,OFDMA
S17,7,Ping,Medium,1.451,0.08,Medium,Abnormal,216.3,1.39,-8.15,86.75,5.0,-77.04,7.12,0.186,-87.68,12.07,5.00e-08,0.118,5,BPSK,CDMA
S18,10,Ping Storm,High,1.672,0.25,Medium,Abnormal,183.6,1.1,-1.61,85.32,7.64,-71.96,3.46,0.272,-75.26,25.62,1.00e-08,0.175,3,16-QAM,CDMA
S19,15,HTTP (Continuous),High,2.68,0.4,Very Low,Abnormal,408.5,0.75,-1.17,92.27,14.13,-56.38,5.98,0.408,-92.63,9.67,4.72e-05,0.23,4,BPSK,OFDMA
S20,10,Ping,High,2.302,0.23,Low,Abnormal,285.3,0.63,3.0,89.15,5.44,-70.67,4.53,0.31,-91.81,9.69,4.52e-05,0.166,5,BPSK,CDMA
S21,2,Ping,Low,0.11,0.01,High,Normal,114.3,2.84,19.92,81.21,1.36,-87.99,18.49,0.119,-66.89,32.78,1.00e-08,0.074,2,16-QAM,TDMA
S22,2,HTTP,Low,0.06,0.0,High,Normal,52.6,2.58,-11.4,74.47,-0.26,-93.81,13.56,0.101,-56.24,42.61,1.00e-08,0.103,1,16-QAM,TDMA
S23,2,HTTP (bursty),Low,0.15,0.01,High,Normal,61.2,2.72,-13.65,75.78,2.92,-89.55,15.37,0.191,-56.92,41.94,1.00e-08,0.127,0,16-QAM,TDMA
S24,7,ICMP,Medium,1.575,0.06,Medium,Abnormal,111.1,0.64,3.23,80.96,5.22,-77.42,7.72,0.162,-75.7,22.4,1.00e-08,0.075,2,QPSK,CDMA
S25,15,ICMP,High,2.553,0.28,Very Low,Abnormal,487.9,1.04,10.23,93.81,9.22,-59.51,8.45,0.304,-103.57,0,1.84e-01,0.191,5,BPSK,OFDMA
S26,7,ICMP + HTTP (alternating),Medium,0.781,0.12,Medium,Abnormal,180.0,0.53,-0.94,85.15,6.91,-81.32,6.9,0.265,-86.03,14.86,1.00e-08,0.112,5,BPSK,CDMA
S27,8,Ping (intermittent),Medium,1.595,0.09,Medium,Abnormal,103.0,1.1,9.33,80.3,3.49,-72.6,9.4,0.233,-75.6,26.46,1.00e-08,0.104,6,16-QAM,CDMA
S28,4,HTTP (bursty),Medium,0.45,0.01,Medium,Normal,142.0,2.55,-23.03,83.09,2.5,-82.1,19.91,0.134,-67.69,33.4,1.00e-08,0.082,3,16-QAM,FDMA
S29,7,Ping (intermittent),Medium,1.452,0.1,Medium,Abnormal,181.5,1.27,11.19,85.22,4.85,-77.69,15.72,0.164,-80.53,17.98,1.00e-08,0.125,2,QPSK,CDMA
S30,11,HTTP (Continuous),High,1.935,0.27,Low,Abnormal,245.5,0.86,9.14,87.85,8.74,-67.61,13.88,0.316,-90.68,6.9,3.73e-03,0.187,3,BPSK,OFDMA
S31,1,HTTP (bursty),Low,0.04,0.0,High,Normal,115.9,2.8,-9.25,81.33,1.56,-90.57,12.14,0.133,-71.39,27.99,1.00e-08,0.065,3,16-QAM,TDMA
S32,13,ICMP,Very High,4.054,0.26,Very Low,Abnormal,429.0,1.35,-7.44,92.7,8.1,-60.11,6.21,0.285,-101.65,0,1.84e-01,0.191,7,BPSK,OFDMA
S33,8,ICMP,Medium,1.574,0.09,Medium,Abnormal,181.1,0.77,-0.17,85.2,3.84,-75.89,5.77,0.216,-81.97,19.08,1.00e-08,0.111,4,QPSK,CDMA
